Question,Equation,Answer,fold
"학생들이 한 줄로 서서 달리기를 하고 있고 윤기는 앞에서 셋째, 뒤에서 셋째로 달리고 있다고하면 달리기를 하는 학생은 모두 몇 명일까요?",3 + 3 - 1,5,5
민영이는 장난감을 5개 가지고 있었는데 1개를 선물로 받았습니다. 민영이가 가지고 있는 장난감은 모두 몇 개 일까요?,5 + 1,6,1
"태형이는 21.0개의 바나나를 가지고 있는데, 그가 친구들에게 3.0개씩 나눠 줬을 때, 총 몇 명의 친구들에게 나눠 줄 수 있습니까?",21.0 / 3.0,7,9
키위 24개를 바구니 3개에 똑같이 나누어 담고 모둠별로 바구니를 한개씩 주었습니다. 유나네 모둠 4명의 학생이 바구니에 있는 키위를 똑같이 나누어 가져갔다면 한 사람이 갖게 되는 키위는 몇 개인가?,( 24 / 3 ) / 4,2,8
"운동장에 여자 어린이가 14명, 남자 어린이가 8명 있습니다. 남자 어린이는 여자 어린이보다 몇 명 더 많을까요?",abs(14 - 8),6,3
연필 5타를 담을 수 있는 상자에 연필을 나누어 포장하려고 할 때 갖고 있는 연필이 총 497자루 있다면 필요한 상자 수와 남은 연필의 개수를 쓰시오.,497 % ( 12 * 5 ),17,3
"어떤 수를 49로 곱하여야 하는데 잘못하여 나누었더니 몫이 17이고, 나머지가 15였습니다. 옳게 계산한 값을 쓰시오.",( 49 * 17 + 15 ) * 49,41552,6
12명이 일하는 공장에 한 사람이 하루에 20개의 제품을 만든다고 한다. 이 공장에서 2주 동안 만들 수 있는 제품은 모두 몇 개 인지 쓰시오.,12 * 20 * ( 2 * 7 ),3360,6
"종이학을 하루에 14개씩 접으려고 합니다. 1주일에 7일씩, 6주 동안 접을 수 있는 종이학은 모두 몇 개입니까?",14 * 7 * 6,588,3
"수족관에 금붕어가 56마리, 열대어가 53마리 있습니다. 금붕어와 열대어 중에서 어느 것이 더 많은지 구하세요.",'금붕어' if 56 > 53 else '열대어',금붕어,6
동화책의 짧은 쪽의 길이는 길이가 1cm인 나뭇조각으로 20번입니다. 동화책의 짧은 쪽의 길이는 몇 cm인가요?,1 * 20,20,6
색종이 89장을 학생들에게 4장씩 나누어 주려고 합니다. 최대 몇 명에게 나누어줄 수 있는지 쓰시오.,89 // 4,22,3
"11개의 밭이 있습니다. 밭에는 무가 25개 심어져 있다고 할 때, 무는 모두 몇 개일까요?",25 * 11,275,8
"태형이는 구슬 4개를 가지고 있었습니다. 누나에게 2개를 주고 친구에게 6개를 선물로 받았습니다. 친구는 구슬을 10개 가지고 있다면, 지금 태형이가 가지고 있는 구슬은 몇 개일까요?",4 - 2 + 6,8,5
호석이는 연필을 81.0개를 갖고 있습니다. 그는 34.0개를 팔았습니다. 호석이는 몇 개의 연필을 갖고 있습니까?,81.0 - 34.0,47,3
"태형이네 집에 호두가 76개, 땅콩이 58개 있다고 할 때, 호두가 땅콩보다 몇 개 더 많은 지 구하세요.",abs( 76 - 58 ),18,1
"석진이는 구슬을 323개 가지고 있습니다. 민영이에게 185개를 주었고, 태형이에게 98개를 주었습니다. 석진이가 갖고 있는 구슬은 몇 개입니까?",323 - 185 - 98,40,1
장미 20 송이를 꽃병 5개에 똑같이 나누어 꽂으려고 합니다. 꽃병 한 개에 장미를 몇 송이 씩 꽂아야 하나요?,20 / 5,4,9
"빨간 구슬이 56개, 파란 구슬이 26개 있습니다. 노란 구슬은 빨간 구슬과 파란 구슬을 합한 것보다 18개 더 적습니다. 노란 구슬은 몇개인가?",56 + 26 - 18,64,7
"한 상자에는 블루베리가 18개 들어있다고 할 때, 53개의 상자 안에 있는 블루베리는 모두 몇 개일까요?",18 * 53,954,9
거북이 24마리를 어항 3개에 똑같이 나누어 넣으려고 합니다. 어항 한 개에 거북이를 몇 마리씩 넣어야 합니까?,( 24 / 3 ),8,2
가위바위보를 할 때 남준이는 가위를 내고 유나는 보를 냈다. 펼친 손가락은 몇 개인가?,2 + 5,7,2
지민이는 종이꽃을 6분에 두 개씩 접을 수 있습니다. 이때 15분 동안 접을 수 있는 종이꽃의 개수를 쓰시오.,15 / ( 6 / 2 ),5,3
"208, 521, 492 중 가장 작은 수와 가장 큰 수의 덧셈을 구해 보세요.","min( 208 , 521 , 492 ) + max( 208 , 521 , 492 )",729,1
1 이상 73 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( 1 , 73 + 1 ) ] )",2701,2
"3, 6, 12, 18 중에서 가장 큰 수와 가장 작은 수의 뺄셈을 구해라.","max( 3 , 6 , 12 , 18 ) - min( 3 , 6 , 12 , 18 )",15,8
"학생들이 한 줄로 서서 계주 달리기를 하고 있습니다. 윤기는 앞에서 셋째, 뒤에서 셋째로 달리고 있습니다. 달리기를 하는 학생은 모두 몇 명일까요?",3 + 3 - 1,5,1
"동화책을 남준이는 29쪽, 민영이는 35쪽 읽었습니다. 다음날 민영이가 1쪽 더 읽었을 때, 동화책을 더 많이 읽은 친구는 누구인가?",'남준' if 29 > 35 + 1 else '민영',민영,1
65명의 학생들이 한 줄로 줄을 섰습니다. 유나의 앞에 5명의 학생들이 서 있습니다. 유나의 뒤에 서 있는 학생은 몇 명입니까?,65 - 5 - 1,59,5
"석진, 남준, 윤기가 똑같은 컵에 물을 가득 따라 마셨을 때. 각 컵에 물이 1/8, 1/7, 1/2만큼 남았습니다. 누구의 물이 가장 적게 남았나요?","'석진' if min( 1/8 , 1/7 , 1/2 ) == 1/8 else ( '남준' if min( 1/8 , 1/7 , 1/2 ) == 1/7 else '윤기')",석진,4
"3장의 수 카드 3, 5, 4를 한 번씩만 사용하여 세 자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수 와 가장 작은 수의 덧셈을 구하시오.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 3 , 5 , 4 ] , reverse = True ) ] ] [0] + [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ 3 , 5 , 4 ] ) ] ] [0]",888,2
"석진, 태형이의 음악 점수는 각각 98점, 18점입니다. 이 둘을 제외한 학급의 음악 점수 평균은 25점 입니다. 석진이네 학급 인원수가 42명일 때, 학급 음악 평균 점수는 몇 점입니까?",( ( 42 - 2 ) * 25 + 98 + 18 ) / 42,26.57,6
"B를 7로 나누면 몫이 6일때, B를 계산하시오.",7 * 6,42,5
"카드 3장 4, 5, 1 중에서 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( 4 , 5 , 1 ) + min( 4 , 5 , 1 )",6,6
공책을 한 권씩 어린이 13명에게 나누어 주려고 합니다. 공책이 14권 있다면 몇 권 남을까요?,14 - 13,1,7
어떤 수를 2번 더했더니 12가 되었습니다. 어떤 수를 2번 곱하면 얼마일까요?,( 12 // 2 ) ** 2,6,8
"자연수 배열 5, 15, 45, 95, 165의 규칙에 따라 10번째 오는 수를 예측하시오.","sum( [ 2 * i + 1 for i in range( 1 , 10 - 1 ) ] ) * ( 15 - 5 ) + 15",815,9
주차장에 자동차 13대와 오토바이 16대가 있습니다. 주차장에 있는 자동차의 바퀴는 오토바이의 바퀴보다 몇 개 더 많습니까?,13 * 4 - 16 * 2,20,3
"윤기는 36.0마리의 고양이와 18.0마리의 개가 있습니다. 윤기가 고양이 26.0마리를 팔았을 때, 남은 동물은 몇 마리입니까?",36.0 + 18.0 - 26.0,28,6
어떤 수에서 30을 뺀 결과는 40입니다. 어떤 수에서 49를 더한 결과는 무엇입니까?,40 + 30 + 49,119,4
"5.0명의 친구가 집에왔습니다. 오후에 추가로 5명이 더 왔고, 한명당 5개의 선물을 갖고왔을때, 총 선물은 몇 개입니까?",5.0 * ( 5.0 + 5.0 ),50,3
우표 98장을 봉투 두 개에 똑같이 나누어 넣으면 우표는 몇 장 남는지 쓰시오.,98 % 2,0,7
"4학년 학생들이 박물관으로 현장학습을 갔습니다. 우리 반은 36명 중에서 2명이 가지 않았고, 버스에는 운전기사 1명, 선생님 1명, 그리고 문화 해설 도우미 2명이 타셨습니다. 버스에는 모두 몇 명이 타고 있을까요?",36 - 2 + 1 + 1 + 2,38,5
정국이에게 자두가 41개 있습니다. 남준이는 5개의 자두를 먹고 남은 자두를 6개씩 친구들에게 나누어주려고 합니다. 몇 명의 친구에게 나누어줄 수 있나요?,( 41 - 5 ) / 6,6,9
꽃집에서 장미꽃을 24송이씩 포장하여 꽃다발 3개를 만들었다. 꽃다발을 만드는 데 모두 몇 송이의 꽃이 사용되었는지 구하여라.,24 * 3,72,9
"태형이는 집에서 2km 떨어진 도서관에 갔다. 1km 800m는 자전거를 타고 가고, 나머지는 걸어서 갔을 때, 태형이가 걸어간 거리는 몇 m인지 구해라.",( 2 * 1000 ) - ( 1 * 1000 + 800 ),200,6
텃밭에 감자가 31개 있고 당근은 감자보다 10개 더 적게 있습니다. 텃밭에 있는 감자와 당근은 모두 몇 개일까요?,31 + 31 - 10,52,5
"15로 나누어도 6이 남고, 27로 나누어도 6이 남는 어떤 수가 있습니다. 그 중에서 가장 작은 수는 얼마입니까?","min( [ i + 6 for i in range( 27 , 27 * 15 + 1 ) if i % 15 == 0 and i % 27 == 0 ] )",141,4
도화지 한 장으로 종이학을 6개 만들 수 있습니다. 종이학 48개를 만들려면 도화지는 몇 장 필요합니까?,( 48 / 6 ),8,8
"호석이는 은행에서 7.0원을 빌렸습니다. 3.0원을 동생에게 주었을 때, 호석인느 얼마를 가지고 있습니까?",7.0 - 3.0,4,2
마당에 강아지 6마리와 오리가 있습니다. 다리를 세어보니 모두 36개였을 때 오리는 몇마리인지 구하시오.,( 36 - ( 4 * 6 ) ) / 2,6,9
"호석이는 네모 모양 조각 57개, 세모 모양 조각 55개를 가지고 있습니다. 이 중에서 네모 모양 조각 50개를 동생에게 주었습니다. 호석이가 가지고 있는 조각은 모두 몇 개입니까?",57 + 55 - 50,62,6
장미꽃을 석진이는 110개 접었고 지민이는 석진이보다 120개 더 많이 접었습니다. 두 사람이 접은 장미꽃은 몇 개일지 계산하세요.,110 + 120,230,6
"서로 다른 88권의 공책이 있을 때,  87권의 공책을 사려고 한다. 살 수 있는 방법의 수를 구하여라.","math.comb( 88 , 87 )",88,9
사람들이 번호 순서대로 줄을 섰습니다. 지민이가 38번이라면 지민이 바로 뒤에 서 있는 사람은 몇 번일까요?,38 + 1,39,7
냉장고에 들어 있는 흰색 달걀 5개와 갈색 달걀 24개 중에서 12개를 먹었습니다. 오늘 달걀 3개를 더 먹었다면 냉장고에 남아있는 달걀은 몇 개인가요?,5 + 24 - 12 - 3,14,6
"세 자리 수에서 십의 자리 숫자 1를 9으로 잘못 보고, 두 자리 수에서 십의 자리 숫자와 일의 자리 숫자를 바꾸어 61라고 잘못 보았을 때 계산한 두 수의 차는 732입니다. 이 때, 올바르게 계산한 결과는 무엇입니까?",713 - 16,729,8
"5개의 수 483, 509, 668, 237, 125가 있습니다. 가장 큰 수와 가장 작은 수의 합은 얼마인지 쓰시오.","max( 483 , 509 , 668 , 237 , 125 ) + min( 483 , 509 , 668 , 237 , 125 )",793,7
민영이는 9시 20분에 집에서 출발하여 11시에 도서관에 도착했습니다. 민영이가 집에서 도서관까지 가는데 몇 분이 걸렸습니까?,( 11 * 60 ) - ( ( 9 * 60 ) + 20 ),100,5
"69, 44, 32, 23 중 가장 큰 수를 가장 작은 수로 나눈 나머지를 구해라.","max( 69 , 44 , 32 , 23 ) % min( 69 , 44 , 32 , 23 )",0,4
오늘 동물원에 입장한 어른은 248명이고 어린이는 어른보다 125명 더 많습니다. 오늘 동물원에 입장한 어린이는 몇 명입니까?,248 + ( 248 + 125 ),621,1
"학생들이 기차놀이 달리기를 하고 있습니다. 윤기는 앞에서 셋째, 뒤에서 셋째로 달리고 있습니다. 달리기를 하는 학생은 모두 몇 명일까요?",3 + 3 - 1,5,8
민영이는 통당 324개의 비타민이 들어있는 비타민 통을 9.0개 구매했습니다. 민영이는 총 얼마를 지출하였습니까?,324.0 * 9.0,2916,6
"민영이가 끈을 93㎝씩 잘라서 고춧대를 묶으려고 합니다. 끈이 94㎝ 있다고 할때, 고춧대를 몇 개까지 묶을 수 있습니까?",94 // 93,1,8
남준이가 오전에 사과를 316개 땄고 오후에 사과를 295개 땄습니다. 그 중 187개를 먹었다면 남은 딸기는 모두 몇 개입니까?,316 + 295 - 187,424,8
정국이는 바둑돌을 70개 가지고 있습니다. 바둑돌을 한 통에 10개씩 담았다면 바둑돌이 들어있는 통의 개수는 얼마인가요?,70 // 10,7,1
"석진이는 구슬을 323개 가지고 있습니다. 태형이에게 98개를 주었고, 민영이에게 185개를 주었습니다. 석진이가 갖고 있는 구슬은 몇 개입니까?",323 - 185 - 98,40,6
"복숭아 30개를 상자 5개에 똑같이 나누어 담고, 한 상자에 담긴 복숭아를 친구 3명에게 똑같이 나누어 주었습니다. 친구 한 명에게 나누어 준 복숭아는 몇 개입니까?",( 30 * 5 ) / 3,50,4
태형이는 연필 3타를 사 왔습니다. 그중에서 27자루를 동생에게 주었다면 태형이에게 남은 연필은 몇 자루인가?,( 12 * 3 ) - 27,9,6
포도 5개를 서로 다른 두 마리의 오리에게 나누어 주려고 한다. 오리는 적어도 포도 2개는 받습니다. 포도를 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( 5 - ( 2 * 2 ) + 2 - 1 , 5 - ( 2 * 2 ) )",2,8
공책을 태형이는 54권 가지고 있고 호석이는 태형이보다 17권 더 적게 가지고 있습니다. 민영이가 호석이보다 공책을 26권 많이 가지고 있다면 민영이가 가지고 있는 공책은 몇 권일까요?,54 - 17 + 26,63,9
24.0개의 쿠키가 있고 6.0명에게 똑같이 나누어 주려고 한다면 한 사람당 몇개 씩 주어야 합니까?,24.0 / 6.0,4,7
"지민이네 반 여학생 89명은 81명씩 모둠을 만들었고, 남학생 68명은 64명씩 모둠을 만들었습니다. 만든 모둠은 모두 몇 모둠인지 쓰시오.",89 // 81 + 68 // 64,2,4
"A, B, C, D의 네 팀이 축구 시합을 하는데, 어느 팀과도 한 번씩 시합을 한다고 한다. 모두 몇 번의 시합이 있겠는가?","math.comb( 4 , 2 )",6,2
"과자는 5개에 4,850원이고 빵은 4개에 2840원입니다. 과자 1개는 빵 1개보다 얼마나 더 비싼 지 구하면?",4850 / 5 - 2840 / 4,260,8
"87개의 사과를 두 개의 같은 바구니에 나누어 담는 방법의 수를 구하여라.(단, 적어도 각 바구니에 한 개씩은 넣는다.)",( 87 - 1 ),86,7
"호석이가 방학동안 위인전 3권, 동화책 9권, 만화책 1권을 읽었습니다. 호석이가 방학 동안 읽은 동화책은 모두 몇 권일까요?",9,9,5
어떤 수를 2번 더했더니 12가 되었습니다. 어떤 수는 얼마일까요?,12 // 2,6,9
"호석이네 모둠은 사탕 36개를 6명이 똑같이 나누어 가졌고, 유나네 모둠은 사탕 25개를 5명이 똑같이 나누어 가졌습니다. 이때, 한명이 가지게 되는 사탕의 개수가 더 많은 모둠은 누구의 모둠입니까?",'호석' if 36 / 6 > 25 / 5 else '유나',호석,7
