Question,Equation,Answer,fold,Numbers,Names
"number0로 나누어도 number1이 남고, number2로 나누어도 number3이 남는 어떤 수가 있습니다. 그 중 가장 작은 수를 구해 보세요.","min( [ i + number3 for i in range( number2 , number2 * number0 + 1 ) if i % number2 == 0 and i % number0 == 0 ] )",87,4,28 3 42 3 ,
금붕어 number0마리를 어항 number1개에 똑같이 나누어 담으려고 합니다. 어항 number2개에 금붕어를 몇 마리씩 담아야 하는가?,number0 / number1,3,4,27 9 1 ,
"마을에서 name0이는 number0개의 name1을 샀습니다. 다른 마을에서 number1개의 name2을 샀고, name3은 number2개당 number3원 입니다. 총 얼마를 지불 했습니까?",number3 * ( number0 + number1 ),50,4,7.0 3.0 1 5.0 ,민영 볼펜 
참새 number0마리가 나뭇가지에 앉아 있었는데 number1마리가 더 날라왔습니다. 나뭇가지에 참새는 몇 마리일까요?,number0 + number1,8,1,5 3 ,
"한 상자에 참외는 number0개씩 담을 수 있고, name0는 number1개씩 담을 수 있습니다. 참외 number2개와 name1 number3개를 각각 상자에 담았을 때 참외가 몇 상자 더 많은 지 써라.",( number2 / number0 ) + ( number3 / number1 ),39,2,17 38 408 570 ,오이 
number0에서 number1까지 숫자가 각각 적힌 카드 number2장 중에서 한 장의 카드를 뽑으려고 한다. number3의 name0수가 나오는 경우의 수를 구하여라.,number2 // number3,1,6,1 84 84 68 ,배 배 
"name0는 number0개의 상자를 갖고 있습니다. 각 상자에는 number1개의 병이 들어 있을 때, name1가 가진 병의 갯수는 총 몇 개 입니까?",number0 * number1,120,4,12.0 10.0 ,유나 
연필 number0타를 number1명의 어린이에게 똑같이 나누어 주려면 한 사람에게 나누어 주는 연필은 몇 자루인지 구해라.,( 12 * number0 ) / number1,6,1,3 6 ,
"number0, number1, number2, number3 중에서 number4번째로 큰 수와 가장 큰 수의 곱을 구하시오.","sorted( [ number0 , number1 , number2 , number3 ] , reverse = True ) [0] * sorted( [ number0 , number1 , number2 , number3 ] , reverse = True ) [1]",60,2,5 0.5 12 4.1 2 ,
일정한 양의 물이 나오는 수도로 number0l인 물탱크에 물을 받고 있습니다. 오후 number1시까지 전체의 number2을 받았고 오후 number3시까지 전체의 number4를 받았습니다. 한 시간 동안 전체의 얼마를 채울 수 있습니까?.,( number4 - number2 ) / ( number3 - number1 ),0.2,8,150 3 0.3 6 0.9 ,
수영장에 어른이 number0명 있습니다. 어린이와 어른을 합하면 모두 number1명입니다. 그렇다면 수영장에 있는 어린이는 몇 명입니까?,number1 - number0,348,7,189 537 ,
한 뼘의 길이가 약 number0 cm이고 name0이가 책상의 짧은 쪽의 길이를 뼘으로 재었더니 number1뼘이었습니다. 책상의 짧은 쪽의 길이는 약 몇 cm인가요?,number1 * number0,33,3,11 3 ,지민 
"name0이는 길이가 number0cm인 끈을 똑같이 number1개로 나눈 것 중 number2를 가지고 있고, name1는 number3cm의 끈을 똑같이 number4개로 나눈 것 중 number5를 가지고 있습니다. name2가 가진 끈은 name3이가 가진 끈의 몇 name4인지 구해 보시오.",( number3 / number4 ) / ( number0 / number1 ),2.6,6,84 73 1 99 33 1 ,유나 정국 배 배 
책을 name0는 number0시간 동안 number1쪽 읽었고 name1는 number2시간 동안 number3쪽 읽었습니다. 한 시간 동안 읽은 쪽수의 평균이 더 많은 사람은 누구입니까?,'name0' if number1 / number0 > number3 / number2 else 'name1',정국,5,10 50 7 119 ,유나 정국 
name0관에 name1이 number0개 있고 name2은 name3보다 number1개 더 적게 있습니다. name4관에 있는 name5과 name6은 모두 몇 개일까요?,number0 + ( number0 - number1 ),4,5,3 2 ,야구공 축구공 체육 
"number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 덧셈을 쓰시오","max( number0 , number1 , number2 , number3 ) + min( number0 , number1 , number2 , number3 )",21,2,3 6 12 18 ,
어떤 수에서 number0를 뺄 것을 잘못하여 더했더니 number1이 되었습니다. 바르게 계산하면 얼마일까요?,number1 - number0 - number0,12,2,19 50 ,
number0개씩 number1상자에 name0을 담고 나니 name1 number2개가 남았다. name2은 모두 몇 개입니까?,number0 * number1 + number2,99,3,13 7 8 ,감 
어떤 수를 number0으로 나누었더니 몫이 number1가 되었습니다. 어떤 수를 number2으로 나눈 몫은 얼마인지 구하시오.,number0 * number1 / number2,4,6,6 2 3 ,
"위인전을 name0이는 number0쪽 읽고, name1이는 number1쪽을 읽었습니다. 위인전을 더 많이 읽은 사람은 누구일까요?",'name1' if number0 > number1 else 'name0',정국,4,27 35 ,정국 석진 
"name0이는 꽃집에서 장미를 number0송이, 백합을 number1송이 샀습니다. name1이는 장미와 백합 중 어떤 것을 더 많이 샀나요?",'장미' if number0 > number1 else '백합',장미,7,4 3 ,석진 
name0네 학교 name1은 number0명이고 name2은 name3보다 number1명이 적습니다. 윤모네 학생은 모두 number2명입니다. name4네 학교 학생은 모두 몇 명입니까?,number0 + ( number0 - number1 ),741,5,412 83 100 ,윤기 남학생 여학생 
봉투에 만원짜리 지폐 number0장과 천원짜리 지폐 number1장이 있습니다. 총 얼마인가요?,10000 * number0 + 1000 * number1,32000,8,3 2 ,
name0이네 학교 name1은 number0명이고 name2은 number1명입니다. 민기네 학생은 모두 number2명입니다. name3은 name4보다 몇 명 더 많습니까?,number0 - number1,113,9,530 417 600 ,민영 남학생 여학생 
number0개의 name0이 들어있는 상자가 number1개 있다고 한다. name1을 number2명의 사람이 나누어 가진다면 한 사람 당 몇 개의 name2을 나누어 가질 수 있는가?,( number0 * number1 ) / number2,50,1,30 5 3 ,사탕 
"number0초 동안 수도꼭지 name0, name1, name2에서 나온 물의 양이 각각 number1name3, number2name4, number3name5라고 할 때, 수도꼭지 name6, name7, name8에서 number4초 동안 받은 물의 양은 모두 몇 name9일까요?",number1 + number2 + number3,1.4,2,10 0.2 0.5 0.7 10 ,A B C L 
"어떤 수로 number0을 나누면 나머지가 number1이고, number2을 나누면 나머지가 number3입니다. 어떤 수가 될 수 있는 수의 개수를 구해라.","len( [ i for i in range( 1 , number2 ) if number0 % i == number1 and number2 % i == number3 ] )",2,2,88 4 66 3 ,
시장에서 name0 number0개를 사왔습니다. 냉장고에 있는 name1이 모두 number1개가 되었습니다. 처음 냉장고에 있던 name2은 몇 개인가요?,number1 - number0,17,2,13 30 ,달걀 
"자연수 name0number0 number1, number2, number3, number4 의 규칙에 따라 number5 다음에 오는 수를 예측하시오.",number5 + ( number2 - number1 ),163,8,10 35 67 99 131 131 ,배 배 
number0권의 동화책이 있다고 한다. number1권의 동화책을 더 가져오면 모두 몇권의 동화책이 있을까?,number0 + number1,5,3,3 2 ,
길이가 number0cm인 철사를 사용하여 가장 큰 정삼각형 number1를 만들었습니다. 만든 정삼각형의 한 변은 몇 cm입니까?,number0 / 3,12,6,36 1 ,
"자연수를 규칙에 따라 number0, number1, number2, number3, name0, number4로 name1number5하였습니다. name2에 알맞은 수를 구하시오.","( [ number0 , number1 , 10, number3 ] [-1] + [ number4 ] [0] ) / 2",16,1,4 7 10 13 19 10 ,A 배 배 
"색종이를 name0는 number0장, name1이는 number1장, name2이는 number2장을 가지고 있습니다. 색종이를 가장 적게 가지고 있는 사람은 누구일까요?",'name1' if number0 < number1 and number0 < number2 else 'name0' if number1 < number2 else 'name2',석진,9,67 69 64 ,민영 윤기 석진 
"number0개의 수 number1, number2, number3, number4, number5이 있습니다. 이 중에서 number6보다 큰 수는 모두 몇 개입니까?","len( [ i for i in [ number1 , number2 , number3 , number4 , number5 ] if i > number6 ] )",3,3,5 1.4 9/10 1.1 0.5 13/10 0.9 ,
"수 카드 number0, number1, number2, number3가 있습니다. 이 카드를 한 번씩 사용하여 number4자리 수를 만들려고 합니다. 만들 수 있는 수 중에서 가장 큰 수와 가장 작은 수의 합을 구하세요.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number0 , number1 , number4 , number3 ] , reverse = True ) ] ] [0] + [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number0 , number1 , number4 , number3 ] ) ] ] [0]",1099,4,5 8 2 4 2 ,
"name0이는 number0권의 문제집을 갖고 있습니다. name1이가 number1개의 문제집을 훔쳤을 때, name2이는 몇 권의 문제집을 갖고 있습니까?",number0 + number1,69,5,53.0 16.0 ,유정 석진 
name0는 은행 계좌에 number0달러를 가지고 있습니다. 매월 그녀는 number1달러를 사용합니다. name1이가 number2개월 이후 갖고 있는 돈은 얼마입니까?,25333 - number1 * number2,24613,3,25333.0 60.0 12.0 ,유나 지민 
"number0통에 number1개씩 들어 있는 단추가 number2통 있습니다. 여기서 number3통을 썼을때, 단추는 모두 몇 개일까요?",number1 * number2 - number1 * number3,580,3,1 10 60 2 ,
"name0이는 number0개의 연필을 가지고 있습니다. number1개를 친구들에게 나누어 주었을 때, 총 몇 개의 연필을 갖고 있습니까?",number0 - number1,345,1,479.0 134.0 ,호석 
"number0, number1, number2, number3 중에서 가장 큰 수를 가장 작은 수로 나눈 나머지는 얼마입니까?","max( number0 , number1 , number2 , number3 ) % min( number0 , number1 , number2 , number3 )",0,5,3 6 12 18 ,
"name0을 현아는 number0개, 지훈이는 number1개 먹었습니다. 누가 name1을 더 많이 먹었나요?",'현아' if number0 > number1 else '지훈',현아,8,9 4 ,귤 
"name0이네 집은 name1를 number0개를 수확하였고, name2이네 집은 number1개를 수확하였습니다. name3이네 집은 name4이네 집보다 name5를 몇 개 덜 수확하였습니까?",number1 - number0,212,3,504 716 ,유정 호석 배 배 
어떤 수를 number0로 잘못나누어 number1가 나왔다면 그 수를 number2으로 나누었을 때 몫이 얼마가 나오겠는가?,( number0 * number1 ) / number2,6,8,9 4 6 ,
"학생들이 한 줄로 서서 달리기를 하고 있고 name0는 앞에서 number0째, 뒤에서 number1째로 달리고 있다고하면 달리기를 하는 학생은 모두 몇 명일까요?",number1 + number1 - 1,5,5,3 3 ,윤기 
name0이는 장난name1을 number0개 가지고 있었는데 number1개를 선물로 받았습니다. name2이가 가지고 있는 장난name3은 모두 몇 개 일까요?,number0 + number1,6,1,5 1 ,민영 감 
"name0이는 number0개의 바나나를 가지고 있는데, 그가 친구들에게 number1개씩 나눠 줬을 때, 총 몇 명의 친구들에게 나눠 줄 수 있습니까?",number0 / number1,7,9,21.0 3.0 ,태형 
키위 number0개를 바구니 number1개에 똑같이 나누어 담고 모둠별로 바구니를 number2개씩 주었습니다. name0네 모둠 number3명의 학생이 바구니에 있는 키위를 똑같이 나누어 가져갔다면 한 사람이 갖게 되는 키위는 몇 개인가?,( number0 / number1 ) / number3,2,8,24 3 1 4 ,유나 
"운동장에 여자 어린이가 number0명, 남자 어린이가 number1명 있습니다. 남자 어린이는 여자 어린이보다 몇 명 더 많을까요?",abs(14 - 8),6,3,14 8 ,
연필 number0타를 담을 수 있는 상자에 연필을 나누어 포장하려고 할 때 갖고 있는 연필이 총 number1자루 있다면 필요한 상자 수와 남은 연필의 개수를 쓰시오.,number1 % ( 12 * number0 ),17,3,5 497 ,
"어떤 수를 number0로 곱하여야 하는데 잘못하여 나누었더니 몫이 number1이고, 나머지가 number2였습니다. 옳게 계산한 값을 쓰시오.",( number0 * number1 + number2 ) * number0,41552,6,49 17 15 ,
number0명이 일하는 공장에 한 사람이 하루에 number1개의 제품을 만든다고 한다. 이 공장에서 number2주 동안 만들 수 있는 제품은 모두 몇 개 인지 쓰시오.,number0 * number1 * ( number2 * 7 ),3360,6,12 20 2 ,
"종이학을 하루에 number0개씩 접으려고 합니다. number1주일에 number2일씩, number3주 동안 접을 수 있는 종이학은 모두 몇 개입니까?",number0 * number2 * number3,588,3,14 1 7 6 ,
"수족관에 금붕어가 number0마리, number1대어가 number2마리 있습니다. 금붕어와 number3대어 중에서 어느 것이 더 많name0 구하세요.",'금붕어' if number0 > number2 else '열대어',금붕어,6,56 10 53 10 ,은지 
동화책의 짧은 쪽의 길이는 길이가 number0cm인 나뭇조각으로 number1번입니다. 동화책의 짧은 쪽의 길이는 몇 cm인가요?,number0 * number1,20,6,1 20 ,
색종이 number0장을 학생들에게 number1장씩 나누어 주려고 합니다. 최대 몇 명에게 나누어줄 수 있는지 쓰시오.,number0 // number1,22,3,89 4 ,
"number0개의 밭이 있습니다. 밭에는 name0가 number1개 심어져 있다고 할 때, name1는 모두 몇 개일까요?",number1 * number0,275,8,11 25 ,무 
"name0이는 구슬 number0개를 가지고 있었습니다. 누나에게 number1개를 주고 친구에게 number2개를 선물로 받았습니다. 친구는 구슬을 number3개 가지고 있다면, 지금 name1이가 가지고 있는 구슬은 몇 개일까요?",number0 - number1 + number2,8,5,4 2 6 10 ,태형 
name0이는 연필을 number0개를 갖고 있습니다. 그는 number1개를 팔았습니다. name1이는 몇 개의 연필을 갖고 있습니까?,number0 - number1,47,3,81.0 34.0 ,호석 
"name0이네 집에 호두가 number0개, 땅콩이 number1개 있다고 할 때, 호두가 땅콩보다 몇 개 더 많은 지 구하세요.",abs( number0 - number1 ),18,1,76 58 ,태형 
"name0이는 구슬을 number0개 가지고 있습니다. name1이에게 number1개를 주었고, name2이에게 number2개를 주었습니다. name3이가 갖고 있는 구슬은 몇 개입니까?",number0 - number1 - number2,40,1,323 185 98 ,민영 태형 석진 
장미 number0 송이를 꽃병 number1개에 똑같이 나누어 꽂으려고 합니다. 꽃병 number2개에 장미를 몇 송이 씩 꽂아야 number3요?,number0 / number1,4,9,20 5 1 1 ,
"빨간 구슬이 number0개, 파란 구슬이 number1개 있습니다. 노란 구슬은 빨간 구슬과 파란 구슬을 합한 것보다 number2개 더 적습니다. 노란 구슬은 몇개인가?",number0 + number1 - number2,64,7,56 26 18 ,
"한 상자에는 블루베리가 number0개 들어있다고 할 때, number1개의 상자 안에 있는 블루베리는 모두 몇 개일까요?",number0 * number1,954,9,18 53 ,
거북이 number0마리를 어항 number1개에 똑같이 나누어 넣으려고 합니다. 어항 number2개에 거북이를 몇 마리씩 넣어야 합니까?,( number0 / number1 ),8,2,24 3 1 ,
가위바위보를 할 때 name0이는 가위를 내고 name1는 보를 냈다. 펼친 손가락은 몇 개인가?,2 + 5,7,2,,유나 남준 
name0이는 종이꽃을 number0분에 number1개씩 접을 수 있습니다. 이때 number2분 동안 접을 수 있는 종이꽃의 개수를 쓰시오.,number2 / ( number0 / number1 ),5,3,6 2 15 ,지민 
"number0, number1, number2 중 가장 작은 수와 가장 큰 수의 덧셈을 구해 보세요.","min( number0 , number1 , number2 ) + max( number0 , number1 , number2 )",729,1,208 521 492 ,
number0 이상 number1 이하인 자연수를 모두 더하면 얼마인가?,"sum( [ x for x in range( number0 , number1 + number0 ) ] )",2701,2,1 73 ,
"number0, number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 뺄셈을 구해라.","max( number0 , number1 , number2 , number3 ) - min( number0 , number1 , number2 , number3 )",15,8,3 6 12 18 ,
"학생들이 한 줄로 서서 계주 달리기를 하고 있습니다. name0는 앞에서 number0째, 뒤에서 number1째로 달리고 있습니다. 달리기를 하는 학생은 모두 몇 명일까요?",number1 + number1 - 1,5,1,3 3 ,윤기 
"동화책을 name0이는 number0쪽, name1이는 number1쪽 읽었습니다. 다음날 name2이가 number2쪽 더 읽었을 때, 동화책을 더 많이 읽은 친구는 누구인가?",'name1' if number0 > number1 + number2 else 'name0',민영,1,29 35 1 ,민영 남준 
number0명의 학생들이 한 줄로 줄을 섰습니다. name0의 앞에 number1명의 학생들이 서 있습니다. name1의 뒤에 서 있는 학생은 몇 명입니까?,number0 - number1 - 1,59,5,65 5 ,유나 
"name0, name1, name2가 똑같은 컵에 물을 가득 따라 마셨을 때. 각 컵에 물이 number0, number1, number2만큼 남았습니다. 누구의 물이 가장 적게 남았나요?","'name2' if min( number0 , number1 , number2 ) == number0 else ( 'name0' if min( number0 , number1 , number2 ) == number1 else 'name1')",석진,4,1/8 1/7 1/2 ,남준 윤기 석진 
"number0장의 수 카드 number1, number2, number3를 한 번씩만 사용하여 number4자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수 와 가장 작은 수의 덧셈을 구하시오.","[ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number4 , number2 , number3 ] , reverse = True ) ] ] [0] + [ 100 * i[0] + 10 * i[1] + i[2] for i in [ sorted( [ number4 , number2 , number3 ] ) ] ] [0]",888,2,3 3 5 4 3 ,
"name0, name1이의 name2 점수는 각각 number0점, number1점입니다. 이 number2을 제외한 학급의 name3 점수 평균은 number3점 입니다. name4이네 학급 인원수가 number4명일 때, 학급 name5 평균 점수는 몇 점입니까?",( ( number4 - number2 ) * number3 + number0 + number1 ) / number4,26.57,6,98 18 2 25 42 ,태형 석진 음악 
"name0를 number0로 나누면 몫이 number1일때, name1를 계산하시오.",number0 * number1,42,5,7 6 ,B 
"카드 number0장 number1, number2, number3 중에서 가장 큰 수와 가장 작은 수의 합을 구하시오.","max( number1 , number2 , number3 ) + min( number1 , number2 , number3 )",6,6,3 4 5 1 ,
공책을 한 권씩 어린이 number0명에게 나누어 주려고 합니다. 공책이 number1권 있다면 몇 권 남을까요?,number1 - number0,1,7,13 14 ,
어떤 수를 number0번 더했더니 number1가 되었습니다. 어떤 수를 number2번 곱하면 얼마일까요?,( number1 // number2 ) ** number2,6,8,2 12 2 ,
"자연수 name0number0 number1, number2, number3, number4, number5의 규칙에 따라 number6번째 오는 수를 예측하시오.","sum( [ 2 * i + 1 for i in range( 1 , number6 - 1 ) ] ) * ( number2 - number1 ) + number2",815,9,10 5 15 45 95 165 10 ,배 배 
주차장에 name0 number0대와 name1 number1대가 있습니다. 주차장에 있는 name2의 바퀴는 name3의 바퀴보다 몇 개 더 많습니까?,number0 * 4 - number1 * 2,20,3,13 16 ,오토바이 자동차 
"name0는 number0마리의 고양이와 number1마리의 개가 있습니다. name1가 고양이 number2마리를 팔았을 때, 남은 동물은 몇 마리입니까?",number0 + number1 - number2,28,6,36.0 18.0 26.0 ,윤기 
어떤 수에서 number0을 뺀 결과는 number1입니다. 어떤 수에서 number2를 더한 결과는 name0엇입니까?,number1 + number0 + number2,119,4,30 40 49 ,무 
"number0명의 친구가 집에왔습니다. 오후에 추가로 number1명이 더 왔고, number2명당 number3개의 선물을 갖고왔을때, 총 선물은 몇 개입니까?",number0 * ( number0 + number0 ),50,3,5.0 5 1 5 ,
우표 number0장을 봉투 number1개에 똑같이 나누어 넣으면 우표는 몇 장 남는지 쓰시오.,number0 % number1,0,7,98 2 ,
"number0학년 학생들이 name0으로 현장학습을 갔습니다. 우리 반은 number1명 중에서 number2명이 가지 않았고, name1에는 운전기사 number3명, 선생님 number4명, 그리고 문화 해설 도우미 number5명이 타셨습니다. name2에는 모두 몇 명이 타고 있을까요?",number1 - number5 + number4 + number4 + number5,38,5,4 36 2 1 1 2 ,박물관 버스 
name0이에게 자두가 number0개 있습니다. name1이는 number1개의 자두를 먹고 남은 자두를 number2개씩 친구들에게 나누어주려고 합니다. 몇 명의 친구에게 나누어줄 수 있나요?,( number0 - number1 ) / number2,6,9,41 5 6 ,정국 남준 
꽃집에서 장미꽃을 number0송이씩 포장하여 꽃다발 number1개를 만들었다. 꽃다발을 만드는 데 모두 몇 송이의 꽃이 사용되었는지 구하여라.,number0 * number1,72,9,24 3 ,
"name0이는 집에서 number0km 떨어진 name1에 갔다. number1km number2m는 name2를 타고 가고, 나머지는 걸어서 갔을 때, name3이가 걸어간 거리는 몇 m인지 구해라.",( number0 * 1000 ) - ( number1 * 1000 + number2 ),200,6,2 1 800 ,태형 도서관 자전거 
텃밭에 name0자가 number0개 있고 name1은 name2자보다 number1개 더 적게 있습니다. 텃밭에 있는 name3자와 name4은 모두 몇 개일까요?,number0 + number0 - number1,52,5,31 10 ,감 당근 
"number0로 나누어도 number1이 남고, number2로 나누어도 number3이 남는 어떤 수가 있습니다. 그 중에서 가장 작은 수는 얼마입니까?","min( [ i + number3 for i in range( number2 , number2 * number0 + 1 ) if i % number0 == 0 and i % number2 == 0 ] )",141,4,15 6 27 6 ,
도화지 한 장으로 종이학을 number0개 만들 수 있습니다. 종이학 number1개를 만들려면 도화지는 몇 장 필요합니까?,( number1 / number0 ),8,8,6 48 ,
"name0이는 은행에서 number0원을 빌렸습니다. number1원을 동생에게 주었을 때, name1인느 얼마를 가지고 있습니까?",number0 - number1,4,2,7.0 3.0 ,호석 
마당에 강아지 number0마리와 오리가 있습니다. 다리를 세어보니 모두 number1개였을 때 오리는 몇마리인지 구하시오.,( number1 - ( 4 * number0 ) ) / 2,6,9,6 36 ,
"name0이는 네모 모양 조각 number0개, 세모 모양 조각 number1개를 가지고 있습니다. 이 중에서 네모 모양 조각 number2개를 동생에게 주었습니다. name1이가 가지고 있는 조각은 모두 몇 개입니까?",number0 + number1 - number2,62,6,57 55 50 ,호석 
장미꽃을 name0이는 number0개 접었고 name1이는 name2이보다 number1개 더 많이 접었습니다. 두 사람이 접은 장미꽃은 몇 개일지 계산하세요.,number0 + number1,230,6,110 120 ,지민 석진 
"서로 다른 number0권의 공책이 있을 때,  number1권의 공책을 사려고 한다. 살 수 있는 방법의 수를 구하여라.","math.comb( number0 , number1 )",88,9,88 87 ,
사람들이 번호 순서대로 줄을 섰습니다. name0이가 number0번이name1 name2이 바로 뒤에 서 있는 사람은 몇 번일까요?,number0 + 1,39,7,38 ,지민 라면 
냉장고에 들어 있는 name0 name1 number0개와 갈색 name2 number1개 중에서 number2개를 먹었습니다. 오늘 name3 number3개를 더 먹었다면 냉장고에 남아있는 name4은 몇 개인가요?,number0 + number1 - number2 - number3,14,6,5 24 12 3 ,흰색 달걀 
"number0자리 수에서 number1자리 숫자 number2를 number3으로 잘못 보고, number4자리 수에서 number5자리 숫자와 number6자리 숫자를 바꾸어 number7라고 잘못 보았을 때 계산한 number8수의 차는 number9입니다. 이 때, 올바르게 계산한 결과는 name0엇입니까?",713 - 16,729,8,3 10 1 9 2 10 1 61 2 732 ,무 
"number0개의 수 number1, number2, number3, number4, number5가 있습니다. 가장 큰 수와 가장 작은 수의 합은 얼마인지 쓰시오.","max( number1 , number2 , number3 , number4 , number5 ) + min( number1 , number2 , number3 , number4 , number5 )",793,7,5 483 509 668 237 125 ,
name0이는 number0시 number1분에 집에서 출발하여 number2시에 name1에 도착했습니다. name2이가 집에서 name3까지 가는데 몇 분이 걸렸습니까?,( number2 * 60 ) - ( ( number0 * 60 ) + number1 ),100,5,9 20 11 ,민영 도서관 
"number0, number1, number2, number3 중 가장 큰 수를 가장 작은 수로 나눈 나머지를 구해라.","max( number0 , number1 , number2 , number3 ) % min( number0 , number1 , number2 , number3 )",0,4,69 44 32 23 ,
