Question,Equation,answer
"20명의 학생들이 키 순서대로 줄을 섰습니다. 키가 가장 작은 학생이 가장 앞에 서 있다고 할 때, 유나의 뒤에 13명의 학생들이 서 있습니다. 유나보다 키가 작은 학생은 몇 명입니까?",20 - 13 - 1,6
"17명의 학생들이 한 줄로 줄을 섰습니다. 정국이의 뒤에 14명의 학생들이 서 있습니다. 정국이의 바로 뒤에 민영이가 서 있을 때, 민영이의 앞에 서 있는 학생은 몇 명입니까?",17 - 14 - 1 + 1,7
"17명의 학생들이 한 줄로 줄을 섰습니다. 정국이의 뒤에 14명의 학생들이 서 있습니다. 정국이의 바로 앞에 민영이가 서 있을 때, 민영이의 앞에 서 있는 학생은 몇 명입니까?",17 - 14- 1 - 1,5
65명의 학생들이 한 줄로 줄을 섰습니다. 유나의 앞에 5명의 학생들이 서 있습니다. 유나의 뒤에 서 있는 학생은 몇 명입니까?,65 - 5 - 1,59
65명의 사람들이 한 줄로 줄을 섰습니다. 유나의 뒤에 59명의 사람들이 서 있습니다. 유나의 앞에 서 있는 사람은 몇 명입니까?,65 - 59 - 1,5
"유나의 뒤에 59명의 학생들이 줄을 서있고, 유나의 앞에 5명의 학생들이 서 있습니다. 모두 몇명이 한 줄로 서있을까요?",59 + 5 + 1,65
"사람들이 한 줄로 줄을 서 있습니다. 유나는 앞에서 5번째에 서 있고, 유나의 할머니는 뒤에서 7번째에 서 있습니다. 유나의 할머니가 유나의 바로 뒤에 서있다면 줄을 서있는 사람들의 수는 몇 명입니까?",5 + 7,12
"사람들이 한 줄로 줄을 서 있습니다. 유나는 앞에서 5번째에 서 있고, 유나의 할머니는 뒤에서 7번째에 서 있습니다. 유나의 할머니가 유나의 바로 앞에 서있다면 줄을 서있는 사람들의 수는 몇 명입니까?",5 + 7 - 1 - 1,10
"달리기 시합에서 태형이는 5등을 했고, 정국이는 7등을 했습니다. 은지는 정국이보다 잘했지만 태형이보다는 못했습니다. 은지의 등수는 몇 등입니까?",5 + 1,6
"총 4명의 선수가 출전한 씨름 대회에서 정국이는 1등을 했고, 남준이는 3등을 했습니다. 유정이는 남준이보다 잘했지만 정국이보다는 못했습니다. 태형이의 등수는 몇 등입니까?",3 + 1,4
"수영 시합에서 지민이는 앞에서 2등을 했고, 윤기는 뒤에서 2등을 했습니다. 윤기가 지민이 바로 다음 등수라면 수영 시합에 참가한 사람은 총 몇 명입니까?",2 + 2,4
10명의 선수가 출전한 제기차기 시합에서 남준이는 앞에서 3등을 했습니다. 남준이보다 등수가 낮은 사람의 수는 몇 명인가요?,10 - 3,7
바둑 대회에서 은지는 6등을 했습니다. 은지의 동생은 은지보다 높은 등수이고 은지와 한 등수 차이가 납니다. 은지 동생의 등수는 몇 등인가요?,6 - 1,5
키가 큰 사람부터 순서대로 5명이 한 줄로 서 있습니다. 정국이가 앞에서부터 2 번째에 서 있습니다. 키가 작은 사람부터 순서대로 다시 줄을 서면 정국이는 앞에서부터 몇 번째에 서게 됩니까?,5 + 1 - 2,4
키가 큰 사람부터 순서대로 줄을 설 때 정국이가 앞에서부터 2번째에 서 있습니다. 줄에 서있는 다섯 사람이 키가 작은 사람부터 순서대로 다시 줄을 섰을 때 정국이는 앞에서부터 몇 번째에 서게 됩니까?,5 + 1 - 2,4
키가 작은 사람부터 순서대로 5명이 한 줄로 서 있습니다. 정국이가 앞에서부터 2번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 정국이는 앞에서부터 몇 번째에 서게 됩니까?,5 + 1 - 2,4
"경시대회 성적이 높은 순서대로 10명이 한 줄로 서 있습니다. 은지는 앞에서부터 6번째에 서 있습니다. 은지보다 성적이 높은 두 학생이 줄을 이탈했다면, 은지는 뒤에서부터 몇 번째에 서게 됩니까?",10 - 6 + 1,5
"경시대회 성적이 높은 순서대로 10명이 한 줄로 서 있습니다. 은지는 앞에서부터 6번째에 서 있습니다. 은지보다 성적이 높은 두 학생이 줄을 이탈했다면, 은지는 앞에서부터 몇 번째에 서게 됩니까?",6 - 2,4
"8개의 과일 바나나, 배, 파인애플, 수박, 복숭아, 체리, 딸기, 귤 중에서 7가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( 8 , 7 )",8
"8개의 과일 바나나, 배, 파인애플, 수박, 복숭아, 체리, 딸기, 귤 중에서 몇 가지의 과일을 골라서 구매하려고 합니다. 반드시 체리는 구입한다고 할 때 총 7가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( ( 8 - 1 ) , ( 7 - 1 ) )",7
학급 임원 선거에 총 8명의 학생이 출마하였습니다. 학급 임원 총 7자리가 비어있을때 학생들이 당선될 수 있는 경우의 수는 모두 몇 가지 입니까?,"math.comb( 8 , 7 )",7
"과일 가게에 8개의 과일 바나나, 배, 파인애플, 수박, 복숭아, 체리, 딸기, 귤이 있습니다. 이 중에서 7가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( 8 , 7 )",8
"7가지의 과일을 사려고 합니다. 선택할 수 있는 과일 종류가 바나나, 배, 파인애플, 수박, 복숭아, 체리, 딸기, 귤, 총 8가지일때 과일을 사는 경우의 수는 모두 몇 가지인가요?","math.comb( 8 , 7 )",8
"8개의 과일 포도, 배, 바나나, 참외, 귤, 복숭아, 감, 파인애플 중에서 5가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( 8 , 5 )",56
"9개의 과일 포도, 배, 바나나, 참외, 귤, 복숭아, 감, 파인애플, 딸기 중에서 몇 가지의 과일을 골라서 구매하려고 합니다. 반드시 참외는 구입한다고 할 때 총 6가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( ( 9 - 1 ) , ( 6 - 1 ) )",56
"8개의 과일 포도, 배, 바나나, 참외, 귤, 복숭아, 감, 파인애플이 있습니다. 이 중에서 5가지의 과일을 골라서 사는 경우는 모두 몇 가지인가요?","math.comb( 8 , 5 )",56
"과일가게에 8종류의 과일 포도, 배, 바나나, 참외, 귤, 복숭아, 감, 파인애플이 있습니다. 이 중에서 5종류의 과일을 구매하는 경우는 모두 몇 가지입니까?","math.comb( 8 , 5 )",56
"과일가게에 8종류의 과일 포도, 배, 바나나, 참외, 귤, 복숭아, 감, 파인애플이 있다고 할 때 이 중 5종류의 과일을 사는 경우의 수는 무엇입니까?","math.comb( 8 , 5 )",56
"6개의 과일 참외, 수박, 딸기, 배, 감, 체리 중에서 2가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( 6 , 2 )",15
"6개의 과일 참외, 수박, 딸기, 배, 감, 체리 중, 2가지의 과일을 골라서 사는 경우는 모두 몇 가지인가요?","math.comb( 6 , 2 )",15
"6종류의 과일 참외, 수박, 딸기, 배, 감, 체리가 있습니다. 이 중에서 2종류의 과일을 골라 구매하는 방법은 모두 몇 가지입니까?","math.comb( 6 , 2 )",15
"과일가게에 6가지의 과일 참외, 수박, 딸기, 배, 감, 체리가 있습니다. 이 중 2가지의 과일을 선택하여 구입하는 경우의 수는 무엇입니까?","math.comb( 6 , 2 )",15
"집에 6개의 과일 참외, 수박, 딸기, 배, 감, 체리가 있습니다. 이 중에 2개의 과일을 골라 먹는 경우는 모두 몇 가지인가요?","math.comb( 6 , 2 )",15
"8개의 과일 수박, 바나나, 포도, 사과, 귤, 참외, 파인애플, 복숭아 중에서 3가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( 8 , 3 )",56
"9개의 과일 수박, 바나나, 포도, 사과, 메론, 귤, 참외, 파인애플, 복숭아 중에서 몇 가지의 과일을 골라서 구매하려고 합니다. 반드시 포도는 구매한다고 할 때 총 4가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( ( 9 - 1 ) , ( 4 - 1 ) )",56
"8종류의 과일 수박, 바나나, 포도, 사과, 귤, 참외, 파인애플, 복숭아 중에서 3종류의 과일을 골라서 구매하는 경우의 수는 모두 몇 가지입니까?","math.comb( 8 , 3 )",56
"8가지의 과일 수박, 바나나, 포도, 사과, 귤, 참외, 파인애플, 복숭아가 있습니다. 이 중에서 3가지의 과일을 골라서 먹는 경우는 모두 몇 가지인가요?","math.comb( 8 , 3 )",56
"과일가게에 8가지의 과일 수박, 바나나, 포도, 사과, 귤, 참외, 파인애플, 복숭아가 있습니다. 이 중 3가지의 과일을 골라서 구입하는 방법은 모두 몇 가지입니까?","math.comb( 8 , 3 )",56
"4개의 과일 바나나, 딸기, 참외, 사과 중에서 2가지의 과일을 골라서 사는 경우는 모두 몇 가지입니까?","math.comb( 4 , 2 )",6
"4개의 과일 바나나, 딸기, 참외, 사과가 있습니다. 이 중에서 2개의 과일을 고르는 경우는 모두 몇 가지입니까?","math.comb( 4 , 2 )",6
"4종류의 과일 바나나, 딸기, 참외, 사과가 있을때, 이 중 2종류의 과일을 고르는 경우는 모두 몇 가지인가요?","math.comb( 4 , 2 )",6
"4가지의 과일 바나나, 딸기, 참외, 사과가 있습니다. 이 중 2가지의 과일을 고르는 경우의 수는 모두 몇 가지인가요?","math.comb( 4 , 2 )",6
"과일가게에 4가지의 과일 바나나, 딸기, 참외, 사과가 있다고 할 때, 과일가게에서 2가지의 과일을 골라서 사는 방법은 모두 몇 가지입니까?","math.comb( 4 , 2 )",6
참외 10개를 서로 다른 여덟 마리의 오리에게 나누어 주려고 한다. 오리는 적어도 참외 1개는 받습니다. 참외를 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( 10 - ( 8 * 1 ) + 8 - 1 , 10 - ( 8 * 1 ) )",36
참외 10개를 서로 다른 여덟 마리의 오리에게 적어도 1개 이상씩 나누어 주려고 합니다. 참외를 나누어 주는 방법은 모두 몇 가지인가요?,"math.comb( 10 - ( 8 * 1 ) + 8 - 1 , 10 - ( 8 * 1 ) )",36
참외 10개를 서로 다른 여덟 마리의 오리에게 나누어 주려고 합니다. 각 오리에게 1개 이상의 참외를 나누어 주는 방법은 모두 몇 가지입니까?,"math.comb( 10 - ( 8 * 1 ) + 8 - 1 , 10 - ( 8 * 1 ) )",36
참외 10개를 서로 다른 여덟 마리의 오리에게 나누어 주려고 합니다. 각 오리에게 1개 이상의 참외를 나누어 주는 경우의 수는 모두 몇입니까?,"math.comb( 10 - ( 8 * 1 ) + 8 - 1 , 10 - ( 8 * 1 ) )",36
"참외 10개를 서로 다른 여덟 마리의 오리에게 1개 이상씩 나누어 주려고 할 때, 가능한 모든 경우의 수는 무엇입니까?","math.comb( 10 - ( 8 * 1 ) + 8 - 1 , 10 - ( 8 * 1 ) )",36
포도 5개를 서로 다른 두 마리의 오리에게 나누어 주려고 한다. 오리는 적어도 포도 2개는 받습니다. 포도를 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( 5 - ( 2 * 2 ) + 2 - 1 , 5 - ( 2 * 2 ) )",2
포도 5송이를 서로 다른 두 마리의 오리에게 적어도 2송이 이상씩 나누어 주려고 합니다. 포도를 나누어 주는 방법은 모두 몇 가지인가요?,"math.comb( 5 - ( 2 * 2 ) + 2 - 1 , 5 - ( 2 * 2 ) )",2
포도 5개를 서로 다른 두 마리의 오리에게 나누어 주려고 합니다. 각 오리에게 2개 이상의 포도를 나누어 주는 방법은 모두 몇 가지입니까?,"math.comb( 5 - ( 2 * 2 ) + 2 - 1 , 5 - ( 2 * 2 ) )",2
포도 5개를 서로 다른 두 마리의 오리에게 나누어 주려고 합니다. 각 오리에게 2개 이상의 포도를 나누어 주는 경우의 수는 모두 몇입니까?,"math.comb( 5 - ( 2 * 2 ) + 2 - 1 , 5 - ( 2 * 2 ) )",2
"포도 5개를 서로 다른 두 마리의 오리에게 2개 이상씩 나누어 주려고 할 때, 가능한 모든 경우의 수는 무엇입니까?","math.comb( 5 - ( 2 * 2 ) + 2 - 1 , 5 - ( 2 * 2 ) )",2
감 4개를 서로 다른 세 마리의 원숭이에게 나누어 주려고 한다. 원숭이는 적어도 감 1개는 받습니다. 감을 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( 4 - ( 3 * 1 ) + 3 - 1 , 4 - ( 3 * 1 ) )",3
감 4개를 서로 다른 세 마리의 원숭이에게 적어도 1개 이상씩 나누어 주려고 합니다. 감을 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( 4 - ( 3 * 1 ) + 3 - 1 , 4 - ( 3 * 1 ) )",3
서로 다른 세 마리의 원숭이에게 감 4개를 적어도 1개 이상씩 나누어 주려고 합니다. 감을 나누어 주는 경우는 모두 몇 가지 입니까?,"math.comb( 4 - ( 3 * 1 ) + 3 - 1 , 4 - ( 3 * 1 ) )",3
"서로 다른 세 마리의 원숭이에게 감을 나누어 주려고 합니다. 감 4개를 적어도 1개 이상씩 나누어 줄 때, 감을 나누어 줄 수 있는 경우의 수는 모두 몇 가지 입니까?","math.comb( 4 - ( 3 * 1 ) + 3 - 1 , 4 - ( 3 * 1 ) )",3
"서로 다른 원숭이 세 마리에게 4개의 감을 나누어 주려고 합니다. 각 원숭이에게 감 1개 이상씩 나누어 줄 때, 감을 나누어 주는 방법은 몇 가지 입니까?","math.comb( 4 - ( 3 * 1 ) + 3 - 1 , 4 - ( 3 * 1 ) )",3
사과 7개를 서로 다른 다섯 마리의 달팽이에게 나누어 주려고 한다. 달팽이는 적어도 사과 1개는 받습니다. 사과를 나누어 주는 방법은 모두 몇 가지 입니까?,"math.comb( 7 - ( 5 * 1 ) + 5 - 1 , 7 - ( 5 * 1 ) )",15
서로 다른 다섯 마리의 달팽이에게 사과 7개를 나누어 주려고 합니다. 달팽이는 적어도 사과 1개 이상씩 받습니다. 사과를 나누어 주는 방법은 모두 몇 가지입니까?,"math.comb( 7 - ( 5 * 1 ) + 5 - 1 , 7 - ( 5 * 1 ) )",15
다섯 마리의 서로 다른 달팽이에게 7개의 사과를 나누어 주려고 합니다. 모든 달팽이가 사과 1개 이상씩 받을때 사과를 나누어 주는 방법은 모두 몇 가지입니까?,"math.comb( 7 - ( 5 * 1 ) + 5 - 1 , 7 - ( 5 * 1 ) )",15
사과 7개를 서로 다른 다섯 마리의 달팽이에게 적어도 1개 이상씩 나누어 주려고 합니다. 사과를 나누어 주는 경우의 수는 모두 몇입니까?,"math.comb( 7 - ( 5 * 1 ) + 5 - 1 , 7 - ( 5 * 1 ) )",15
"사과 7개를 적어도 1개 이상씩 서로 다른 다섯 마리의 달팽이에게 나누어 줄 때, 사과를 나누어 주는 방법의 가짓수는 모두 얼마입니까?","math.comb( 7 - ( 5 * 1 ) + 5 - 1 , 7 - ( 5 * 1 ) )",15
"7개의 숫자 1, 2, 9, 0, 8, 6, 4를 한 번씩만 사용하여 일곱자리 수를 만들려고 합니다. 만들 수 있는 일곱자리 수는 모두 몇 개입니까?",math.factorial( 7 - 1 ) * ( 7 - 1 ),4320
"일곱자리 수를 만들때 7개의 숫자 1, 2, 9, 0, 8, 6, 4를 한 번씩만 사용하려고 합니다. 만들 수 있는 일곱자리 수는 모두 몇 개입니까?",math.factorial( 7 - 1 ) * ( 7 - 1 ),4320
"7개의 숫자 1, 2, 9, 0, 8, 6, 4를 한 번씩만 사용하여 일곱자리 수를 만들때, 만들 수 있는 일곱자리 수는 모두 몇 개입니까?",math.factorial( 7 - 1 ) * ( 7 - 1 ),4320
"7개의 숫자 1, 2, 9, 0, 8, 6, 4를 한 번씩만 사용하여 일곱자리 수를 만들때, 가능한 일곱자리 수는 모두 몇 개인가요?",math.factorial( 7 - 1 ) * ( 7 - 1 ),4320
"숫자 카드 1, 2, 9, 0, 8, 6, 4를 딱 한 번씩만 사용하여 일곱자리 수를 만드려고 합니다. 일곱개의 숫자카드로 만들 수 있는 일곱자리 수는 모두 몇 개입니까?",math.factorial( 7 - 1 ) * ( 7 - 1 ),4320
"5개의 숫자 7, 3, 2, 5, 9를 한 번씩만 사용하여 다섯자리 수를 만들려고 합니다. 만들 수 있는 다섯자리 수는 모두 몇 개입니까?",math.factorial( 5 ),120
"다섯자리 수를 만들때 5개의 숫자 7, 3, 2, 5, 9를 한 번씩만 사용하려고 합니다. 만들 수 있는 다섯자리 수는 모두 몇 개입니까?",math.factorial( 5 ),120
"5개의 숫자 7, 3, 2, 5, 9를 한 번씩만 사용하여 다섯자리 수를 만들때, 만들 수 있는 다섯자리 수는 모두 몇 개입니까?",math.factorial( 5 ),120
"5개의 숫자 7, 3, 2, 5, 9를 한 번씩만 사용하여 다섯자리 수를 만들때, 가능한 다섯자리 수는 모두 몇 개인가요?",math.factorial( 5 ),120
"숫자 카드 7, 3, 2, 5, 9를 딱 한 번씩만 사용하여 다섯자리 수를 만드려고 합니다. 다섯개의 숫자카드로 만들 수 있는 다섯자리 수는 모두 몇 개입니까?",math.factorial( 5 ),120
"6개의 숫자 3, 8, 9, 5, 0, 7를 한 번씩만 사용하여 여섯자리 수를 만들려고 합니다. 만들 수 있는 여섯자리 수는 모두 몇 개입니까?",math.factorial( 6 - 1 ) * ( 6 - 1 ),600
"여섯자리 수를 만들때 6개의 숫자 3, 8, 9, 5, 0, 7를 한 번씩만 사용하려고 합니다. 만들 수 있는 여섯자리 수는 모두 몇 개입니까?",math.factorial( 6 - 1 ) * ( 6 - 1 ),600
"6개의 숫자 3, 8, 9, 5, 0, 7를 한 번씩만 사용하여 여섯자리 수를 만들때, 만들 수 있는 여섯자리 수는 모두 몇 개입니까?",math.factorial( 6 - 1 ) * ( 6 - 1 ),600
"6개의 숫자 3, 8, 9, 5, 0, 7를 한 번씩만 사용하여 여섯자리 수를 만들때, 가능한 여섯자리 수는 모두 몇 개인가요?",math.factorial( 6 - 1 ) * ( 6 - 1 ),600
"숫자 카드 3, 8, 9, 5, 0, 7를 딱 한 번씩만 사용하여 여섯자리 수를 만드려고 합니다. 여섯개의 숫자카드로 만들 수 있는 여섯자리 수는 모두 몇 개입니까?",math.factorial( 6 - 1 ) * ( 6 - 1 ),600
"3개의 숫자 8, 6, 4를 한 번씩만 사용하여 세자리 수를 만들려고 합니다. 만들 수 있는 세자리 수는 모두 몇 개입니까?",math.factorial( 3 ),6
"세자리 수를 만들때 3개의 숫자 8, 6, 4를 한 번씩만 사용하려고 합니다. 만들 수 있는 세자리 수는 모두 몇 개입니까?",math.factorial( 3 ),6
"3개의 숫자 8, 6, 4를 한 번씩만 사용하여 세자리 수를 만들때, 만들 수 있는 세자리 수는 모두 몇 개입니까?",math.factorial( 3 ),6
"3개의 숫자 8, 6, 4를 한 번씩만 사용하여 세자리 수를 만들때, 가능한 세자리 수는 모두 몇 개인가요?",math.factorial( 3 ),6
"숫자 카드 8, 6, 4를 딱 한 번씩만 사용하여 세자리 수를 만드려고 합니다. 세개의 숫자 카드로 만들 수 있는 세자리 수는 모두 몇 개입니까?",math.factorial( 3 ),6
"3개의 수 220, 376, 507가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 차는 얼마입니까?","max( 220 , 376 , 507 ) - min( 220 , 376 , 507 )",287
"3개의 수 220, 376, 507가 있습니다. 그 중에서 가장 큰 수를 가장 작은 수로 나누었을 때 몫은 얼마입니까?","max( 220 , 376 , 507 ) // min( 220 , 376 , 507 )",2
"3개의 수 220, 376, 507가 있습니다. 그 중에서 가장 큰 수를 가장 작은 수로 나누었을 때 나머지는 얼마입니까?","max( 220 , 376 , 507 ) - ( min( 220 , 376 , 507 ) * ( max( 220 , 376 , 507 ) // min( 220 , 376 , 507 ) ) )",67
"3개의 수 220, 376, 507가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 곱은 얼마입니까?","max( 220 , 376 , 507 ) * min( 220 , 376 , 507 )",111540
"3개의 수 220, 376, 507가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 합은 얼마입니까?","max( 220 , 376 , 507 ) + min( 220 , 376 , 507 )",727
어떤 소수의 소수점을 왼쪽으로 두 자리 옮기면 원래보다 16.24만큼 작아집니다. 원래의 소수를 구하시오,16.24 / (1 - ( 10 ** ( ( -1 ) * 2 ) ) ),16.4
소수점을 왼쪽으로 두 자리 옮기면 원래보다 16.24만큼 작아지는 소수가 있습니다. 이 소수를 구하시오.,16.24 / (1 - ( 10 ** ( ( -1 ) * 2 ) ) ),16.4
소수점을 왼쪽으로 두 자리 옮기면 원래보다 16.24만큼 작아지는 소수를 구하시오.,16.24 / (1 - ( 10 ** ( ( -1 ) * 2 ) ) ),16.4
어떤 소수에서 16.24만큼 작은 값이 그 소수의 소수점을 왼쪽으로 두 자리 옮긴 값과 일치합니다. 이 소수를 구하시오.,16.24 / (1 - ( 10 ** ( ( -1 ) * 2 ) ) ),16.4
"어떤 수의 소수점을 왼쪽으로 두 자리 옮기면 원래의 값보다 16.24만큼 작아진다고 할 때, 원래의 수는 무엇입니까?",16.24 / (1 - ( 10 ** ( ( -1 ) * 2 ) ) ),16.4
어떤 소수의 소수점을 왼쪽으로 한 자리 옮기면 원래보다 0.59만큼 작아집니다. 원래의 소수를 구하시오,0.59 / ( 1 - ( 10 ** ( ( -1 ) * 1 ) ) ),0.66
소수점을 왼쪽으로 한 자리 옮기면 원래보다 0.59만큼 작아지는 소수가 있습니다. 이 소수를 구하시오.,0.59 / ( 1 - ( 10 ** ( ( -1 ) * 1 ) ) ),0.66
소수점을 왼쪽으로 한 자리 옮기면 원래보다 0.59만큼 작아지는 소수를 구하시오.,0.59 / ( 1 - ( 10 ** ( ( -1 ) * 1 ) ) ),0.66
어떤 소수에서 0.59보다 작은 값이 그 소수의 소수점을 왼쪽으로 한 자리 옮긴 값과 일치합니다. 이 소수를 구하시오.,0.59 / ( 1 - ( 10 ** ( ( -1 ) * 1 ) ) ),0.66
"어떤 수의 소수점을 왼쪽으로 한 자리 옮기면 원래의 값보다 0.59만큼 작아진다고 할 때, 원래의 수는 무엇입니까?",0.59 / ( 1 - ( 10 ** ( ( -1 ) * 1 ) ) ),0.66
어떤 소수의 소수점을 오른쪽으로 두 자리 옮기면 원래보다 10.28만큼 커집니다. 원래의 소수를 구하시오,10.28 / ( ( 10 ** 2 ) - 1 ),0.1
소수점을 오른쪽으로 두 자리 옮기면 원래보다 10.28만큼 커지는 소수가 있습니다. 이 소수를 구하시오.,10.28 / ( ( 10 ** 2 ) - 1 ),0.1
소수점을 오른쪽으로 두 자리 옮기면 원래보다 10.28만큼 커지는 소수를 구하시오.,10.28 / ( ( 10 ** 2 ) - 1 ),0.1
어떤 소수에서 10.28만큼 큰 값이 그 소수의 소수점을 오른쪽으로 두 자리 옮긴 값과 일치합니다. 이 소수를 구하시오.,10.28 / ( ( 10 ** 2 ) - 1 ),0.1
"어떤 수의 소수점을 오른쪽으로 두 자리 옮기면 원래의 값보다 10.28만큼 커진다고 할 때, 원래의 수는 무엇입니까?",10.28 / ( ( 10 ** 2 ) - 1 ),0.1
어떤 소수의 소수점을 오른쪽으로 네 자리 옮기면 원래보다 77.09만큼 커집니다. 원래의 소수를 구하시오,77.09 / ( ( 10 ** 4 ) - 1 ),0.01
소수점을 오른쪽으로 네 자리 옮기면 원래보다 77.09만큼 커지는 소수가 있습니다. 이 소수를 구하시오.,77.09 / ( ( 10 ** 4 ) - 1 ),0.01
