Question,Equation,Answer,comment,Question2,Numbers,Names,Equation2
name0이는 도화지를 number0장 가지고 있었습니다. 그중에서 number1장을 누나에게 주었습니다. name1이에게 남은 도화지는 몇 장일까요?,number0 - number1,4,0,name0이는 도화지를 number0장 가지고 있었습니다. 그중에서 number1장을 누나에게 주었습니다. name1이에게 남은 도화지는 몇 장일까요?,9 5 ,남준 ,number0 - number1
합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 작은 수를 구하세요,( number0 - number3 ) / number3,3,0,합이 number0이고 차가 number1인 number2수가 있습니다. number3수 중에서 더 작은 수를 구하세요,8 2 2 2 ,,( number0 - number3 ) / number3
"name0를 name1이는 number0송이 먹었고, 할아버지는 name2이보다 number1송이 더 많이 먹었습니다. 할아버지가 먹은 name3는 몇 송이인가요?",number0 + number1,7,0,"name0를 name1이는 number0송이 먹었고, 할아버지는 name2이보다 number1송이 더 많이 먹었습니다. 할아버지가 먹은 name3는 몇 송이인가요?",2 5 ,정국 포도 ,number0 + number1
"name0이는 name1보다 더 name2겁고, name3이보다 더 가볍습니다. name4, name5, name6이 중에서 가장 name7거운 사람의 이름을 써 보세요.",'name1',남준,1,"name0이는 name1보다 더 name2겁고, name3이보다 더 가볍습니다. name4, name5, name6이 중에서 가장 name7거운 사람의 이름을 써 보세요.",,유나 남준 석진 무 ,'name1'
name0이는 껌 number0개를 오빠와 나누어 가지려고 합니다. name1이가 오빠보다 껌을 number1개 더 적게 가지려면 몇 개를 가져야 할까요?,number0 // 2,8,0,name0이는 껌 number0개를 오빠와 나누어 가지려고 합니다. name1이가 오빠보다 껌을 number1개 더 적게 가지려면 몇 개를 가져야 할까요?,17 1 ,민영 ,number0 // 2
name0이는 꽃병 number0개를 할머니와 나누어 가지려고 합니다. name1이가 할머니보다 꽃병을 number1개 더 많이 가지려면 몇 개를 가져야 할까요?,number0 // 2 + number1,7,0,name0이는 꽃병 number0개를 할머니와 나누어 가지려고 합니다. name1이가 할머니보다 꽃병을 number1개 더 많이 가지려면 몇 개를 가져야 할까요?,13 1 ,호석 ,number0 // 2 + number1
"교과서를 name0이는 number0쪽 읽고, name1이는 number1쪽을 읽었습니다. 교과서를 더 많이 읽은 사람은 누구일까요?",'name1' if number0 > number1 else 'name0',정국,0,"교과서를 name0이는 number0쪽 읽고, name1이는 number1쪽을 읽었습니다. 교과서를 더 많이 읽은 사람은 누구일까요?",27 35 ,정국 석진 ,'name1' if number0 > number1 else 'name0'
"고모부의 나이는 number0살이고, 이모부의 나이는 number1살 입니다. 나이가 더 적은 사람은 누구일까요?",'고모부' if number0 < number1 else '이모부',이모부,0,"고모부의 나이는 number0살이고, 이모부의 나이는 number1살 입니다. 나이가 더 적은 사람은 누구일까요?",36 34 ,,고모부' if number0 < number1 else '이모부'
"name0이네 학급은 밭에서 name1 number0개, name2 number1개, name3 number2개를 수확하였습니다. 가장 많이 수확된 채소는 name4엇일까요?",'name1' if number0 > number1 and number0 > number2 else 'name3' if number1 > number0 and number1 > number2 else 'name2',사과,0,"name0이네 학급은 밭에서 name1 number0개, name2 number1개, name3 number2개를 수확하였습니다. 가장 많이 수확된 채소는 name4엇일까요?",35 20 32 ,남준 무 당근 오이 ,name1' if number0 > number1 and number0 > number2 else 'name3' if number1 > number0 and number1 > number2 else 'name2'
"name0을 name1이는 number0개, name2이는 number1개, name3는 스물number2개 가지고 있습니다. name4을 가장 적게 가지고 있는 사람은 누구 일까요?",'name1' if 19 < number1 and 19 < 24 else 'name0' if number1 < 19 and number1 < 24 else 'name2',호석,1(글자로 표현된 수),"name0을 name1이는 number0개, name2이는 number1개, name3는 스물number2개 가지고 있습니다. name4을 가장 적게 가지고 있는 사람은 누구 일까요?",109 8 4 ,호석 석진 은지 사탕 ,name1' if 19 < number1 and 19 < 24 else 'name0' if number1 < 19 and number1 < 24 else 'name2'
레몬이 number0개씩 number1봉지와 낱개로 number2개 있습니다. 레몬은 모두 몇 개인가요?,number0 * number1 + number2,15,0,레몬이 number0개씩 number1봉지와 낱개로 number2개 있습니다. 레몬은 모두 몇 개인가요?,10 1 5 ,,number0 * number1 + number2
name0이는 name1 number0개를 동생과 나누어 가지려고 합니다. name2이와 동생이 name3를 똑같이 가지려면 각각 몇 개씩 가져야 할까요?,number0 // 2,7,0,name0이는 name1 number0개를 동생과 나누어 가지려고 합니다. name2이와 동생이 name3를 똑같이 가지려면 각각 몇 개씩 가져야 할까요?,14 ,정국 수박 ,number0 // 2
"name0이네 학급 학생 number0명이 팀을 만들어 이어달리기를 하려고 합니다. number1명을 한 팀으로 할 때, 팀을 만들 수 없는 학생은 몇 명인지 구하세요",number0 % number1,5,0,"name0이네 학급 학생 number0명이 팀을 만들어 이어달리기를 하려고 합니다. number1명을 한 팀으로 할 때, 팀을 만들 수 없는 학생은 몇 명인지 구하세요",25 10 ,석진 ,number0 % number1
학교 강당에 학생들이 번호 순서대로 서 있습니다. name0이는 number0번이고 name1이는 number1번입니다. 두 학생 사이에 있는 학생들은 몇 명인가요?,number1 - number0 - 1,4,1: 1을 항상 빼줌,학교 강당에 학생들이 번호 순서대로 서 있습니다. name0이는 number0번이고 name1이는 number1번입니다. 두 학생 사이에 있는 학생들은 몇 명인가요?,27 32 ,민영 지민 ,number1 - number0 - 1
마늘이 number0개씩 number1박스와 낱개로 number2개가 있습니다. 마늘은 모두 몇 개일까요?,number0 * number1 + number2,39,0,마늘이 number0개씩 number1박스와 낱개로 number2개가 있습니다. 마늘은 모두 몇 개일까요?,10 2 19 ,,number0 * number1 + number2
number0보다 크고 number1보다 작은 수는 모두 몇 개일까요?,number1 - number0 - 1,8,1: 1을 항상 빼줌,number0보다 크고 number1보다 작은 수는 모두 몇 개일까요?,76 85 ,,number1 - number0 - 1
number0보다 크고 number1보다 작은 수는 모두 몇 개일까요?,number1 - number0 - 1,4,1: 1을 항상 빼줌,number0보다 크고 number1보다 작은 수는 모두 몇 개일까요?,67 72 ,,number1 - number0 - 1
"제기를 name0는 number0번, name1이는 number1번 찼습니다. 제기를 더 많이 찬 사람은 누구일까요?",'name0' if number0 > number1 else 'name1',유정,0,"제기를 name0는 number0번, name1이는 number1번 찼습니다. 제기를 더 많이 찬 사람은 누구일까요?",78 80 ,유나 유정 ,'name0' if number0 > number1 else 'name1'
"팔굽혀펴기를 name0이는 number0번, name1이는 number1번, name2이는 number2번 하였습니다. 팔굽혀펴기를 가장 적게 한 사람은 누구일까요?",'name1' if number0 < number1 and number0 < number2 else 'name0' if number1 < number0 and number1 < number2 else 'name2',태형,0,"팔굽혀펴기를 name0이는 number0번, name1이는 number1번, name2이는 number2번 하였습니다. 팔굽혀펴기를 가장 적게 한 사람은 누구일까요?",92 96 94 ,정국 태형 석진 ,'name1' if number0 < number1 and number0 < number2 else 'name0' if number1 < number0 and number1 < number2 else 'name2'
"텃밭에서 고구마를 name0는 number0개, name1이는 number1개 캤습니다. name2이는 name3이보다 number2개 더 적게 캤습니다. 고구마를 가장 많이 캔 사람은 누구입니까?",'name1' if number0 > number1 and number0 < number1 - number2 else 'name0' if number1 > number0 and number1 > number1 - number2 else 'name2',민영,0,"텃밭에서 고구마를 name0는 number0개, name1이는 number1개 캤습니다. name2이는 name3이보다 number2개 더 적게 캤습니다. 고구마를 가장 많이 캔 사람은 누구입니까?",59 63 1 ,민영 윤기 지민 ,'name1' if number0 > number1 and number0 < number1 - number2 else 'name0' if number1 > number0 and number1 > number1 - number2 else 'name2'
"어항에 잉어가 number0마리, 붕어가 number1마리 있습니다. 잉어와 붕어 중에서 어느 것이 더 많name0 구하세요.",'잉어' if number0 > number1 else '붕어',잉어,0,"어항에 잉어가 number0마리, 붕어가 number1마리 있습니다. 잉어와 붕어 중에서 어느 것이 더 많name0 구하세요.",56 53 ,은지 ,잉어' if number0 > number1 else '붕어'
name0 number0개를 한 상자에 number1개씩 담았습니다. number2개씩 담고 남은 name1은 몇 개인가요?,number0 % number2,8,0,name0 number0개를 한 상자에 number1개씩 담았습니다. number2개씩 담고 남은 name1은 몇 개인가요?,98 10 10 ,축구공 ,number0 % number2
number0보다 크고 number1보다 작은 수들의 개수는 몇 개인가요?,number1 - number0 - 1,3,1: 1을 항상 빼줌,number0보다 크고 number1보다 작은 수들의 개수는 몇 개인가요?,78 82 ,,number1 - number0 - 1
"구슬을 name0는 number0개, name1이는 number1개, name2이는 number2개를 가지고 있습니다. 구슬을 가장 많이 가지고 있는 사람은 누구일까요?",'name1' if number0 > number1 and number0 > number2 else 'name0' if number1 > number0 and number1 > number2 else 'name2',민영,1: 아흔,"구슬을 name0는 number0개, name1이는 number1개, name2이는 number2개를 가지고 있습니다. 구슬을 가장 많이 가지고 있는 사람은 누구일까요?",67 90 64 ,민영 윤기 석진 ,name1' if number0 > number1 and number0 > number2 else 'name0' if number1 > number0 and number1 > number2 else 'name2'
name0이는 조약돌을 number0개 가지고 있습니다. 조약돌을 한 봉지에 number1개씩 모두 담으려면 봉지는 몇 개 필요한지 구하세요.,number0 // number1,7,0,name0이는 조약돌을 number0개 가지고 있습니다. 조약돌을 한 봉지에 number1개씩 모두 담으려면 봉지는 몇 개 필요한지 구하세요.,70 10 ,정국 ,number0 // number1
"농장에 암퇘지가 number0마리, 수퇘지가 number1마리 있습니다. 농장에 있는 돼지는 모두 몇 마리일까요?",number0 + number1,29,0,"농장에 암퇘지가 number0마리, 수퇘지가 number1마리 있습니다. 농장에 있는 돼지는 모두 몇 마리일까요?",20 9 ,,number0 + number1
name0에 학생이 number0명 있습니다. 잠시 후 학생 number1명이 더 왔습니다. name1에 있는 학생은 모두 몇 명일까요?,number0 + number1,25,0,name0에 학생이 number0명 있습니다. 잠시 후 학생 number1명이 더 왔습니다. name1에 있는 학생은 모두 몇 명일까요?,21 4 ,도서관 ,number0 + number1
"급식실에 학생이 number0명이 있었는데, 잠시 후 학생 number1명이 강당으로 들어갔습니다. 급식실에 있는 학생은 모두 몇 명일까요?",number0 - number1,22,0,"급식실에 학생이 number0명이 있었는데, 잠시 후 학생 number1명이 강당으로 들어갔습니다. 급식실에 있는 학생은 모두 몇 명일까요?",25 3 ,,number0 - number1
줄넘기를 name0이는 number0회 하였고 name1는 number1회 하였습니다. name2이와 name3가 한 줄넘기는 모두 몇 회일까요?,number0 + number1,30,0,줄넘기를 name0이는 number0회 하였고 name1는 number1회 하였습니다. name2이와 name3가 한 줄넘기는 모두 몇 회일까요?,20 10 ,유나 호석 ,number0 + number1
종이학을 name0이는 number0마리 가지고 있고 name1는 name2이보다 number1마리 더 많이 가지고 있습니다. name3가 가지고 있는 종이학은 몇 마리일까요?,number0 + number1,49,0,종이학을 name0이는 number0마리 가지고 있고 name1는 name2이보다 number1마리 더 많이 가지고 있습니다. name3가 가지고 있는 종이학은 몇 마리일까요?,32 17 ,태형 은지 ,number0 + number1
동전을 name0이는 number0개 가지고 있고 name1는 name2이보다 number1개 더 적게 가지고 있습니다. name3가 가지고 있는 동전은 몇 개일까요?,number0 - number1,15,0,동전을 name0이는 number0개 가지고 있고 name1는 name2이보다 number1개 더 적게 가지고 있습니다. name3가 가지고 있는 동전은 몇 개일까요?,32 17 ,태형 은지 ,number0 - number1
name0이는 젤리를 number0개 가지고 있습니다. 그중에서 number1개를 언니에게 주었습니다. name1이에게 남은 젤리는 몇 개일까요?,number0 - number1,31,0,name0이는 젤리를 number0개 가지고 있습니다. 그중에서 number1개를 언니에게 주었습니다. name1이에게 남은 젤리는 몇 개일까요?,35 4 ,지민 ,number0 - number1
"name0이는 name1집에서 단팥name2을 number0개, 크림name3을 number1개 샀습니다. name4이는 단팥name5을 크림name6보다 몇 개 더 많이 샀을까요?",abs( number0 - number1 ),1,0,"name0이는 name1집에서 단팥name2을 number0개, 크림name3을 number1개 샀습니다. name4이는 단팥name5을 크림name6보다 몇 개 더 많이 샀을까요?",4 3 ,석진 빵 ,abs( number0 - number1 )
수영장에 입장한 number0명 중에서 남자가 number1명입니다. 수영장에 입장한 여자는 몇 명일까요?,abs( number0 - number1 ),20,0,수영장에 입장한 number0명 중에서 남자가 number1명입니다. 수영장에 입장한 여자는 몇 명일까요?,50 30 ,,abs( number0 - number1 )
"공원에 단풍나name0가 number0그루, 소나name1가 number1그루 있습니다. 소나name2는 단풍나name3보다 몇 그루 더 많을까요?",abs( number0 - number1 ),21,0,"공원에 단풍나name0가 number0그루, 소나name1가 number1그루 있습니다. 소나name2는 단풍나name3보다 몇 그루 더 많을까요?",43 64 ,무 ,abs( number0 - number1 )
"꽃집에 백합이 number0송이 있고, 장미는 백합보다 number1송이 더 적게 있습니다. 꽃집에 있는 백합과 장미는 모두 몇 송이일까요?",number0 + number0 - number1,57,0,"꽃집에 백합이 number0송이 있고, 장미는 백합보다 number1송이 더 적게 있습니다. 꽃집에 있는 백합과 장미는 모두 몇 송이일까요?",36 15 ,,number0 + number0 - number1
냉장고에 name0이 number0개 있고 name1는 name2보다 number1개 더 많이 있습니다. 냉장고에 있는 name3과 name4는 모두 몇 개일까요?,number0 + number0 + number1,72,0,냉장고에 name0이 number0개 있고 name1는 name2보다 number1개 더 많이 있습니다. 냉장고에 있는 name3과 name4는 모두 몇 개일까요?,31 10 ,사과 귤 ,number0 + number0 + number1
주차장에 승용차가 number0대 있고 name0은 승용차보다 number1대 더 많이 있습니다. 주차장에 있는 name1은 몇 대일까요?,number0 + number1,41,0,주차장에 승용차가 number0대 있고 name0은 승용차보다 number1대 더 많이 있습니다. 주차장에 있는 name1은 몇 대일까요?,31 10 ,트럭 ,number0 + number1
냉장고에 들어 있는 초록 name0 number0개와 빨간 name1 number1개 중에서 number2개를 먹었습니다. 냉장고에 남아있는 name2는 몇 개인가요?,number0 + number1 - number2,17,0,냉장고에 들어 있는 초록 name0 number0개와 빨간 name1 number1개 중에서 number2개를 먹었습니다. 냉장고에 남아있는 name2는 몇 개인가요?,5 24 12 ,사과 ,number0 + number1 - number2
name0이는 비닐하우스에서 name1를 어제는 number0송이 땄고 오늘은 number1송이 땄습니다. name2이가 어제와 오늘 딴 name3는 모두 몇 송이일까요?,number0 + number1,83,0,name0이는 비닐하우스에서 name1를 어제는 number0송이 땄고 오늘은 number1송이 땄습니다. name2이가 어제와 오늘 딴 name3는 모두 몇 송이일까요?,52 31 ,남준 포도 ,number0 + number1
name0이는 비닐하우스에서 딸기를 그제는 number0개 땄고 어제는 number1개 땄습니다. name1이는 딸기를 그제보다 어제 얼마나 더 많이 땄을까요?,abs( number0 - number1 ),21,0,name0이는 비닐하우스에서 딸기를 그제는 number0개 땄고 어제는 number1개 땄습니다. name1이는 딸기를 그제보다 어제 얼마나 더 많이 땄을까요?,31 52 ,남준 ,abs( number0 - number1 )
"name0는 name1을 number0자루, 싸인펜을 number1자루 가지고 있습니다. name2이 싸인펜보다 몇 자루 더 많을까요?",abs( number0 - number1 ),15,0,"name0는 name1을 number0자루, 싸인펜을 number1자루 가지고 있습니다. name2이 싸인펜보다 몇 자루 더 많을까요?",28 13 ,윤기 볼펜 ,abs( number0 - number1 )
과일 가게에 파인애플이 number0개 있습니다. 파인애플을 한 박스에 number1개씩 담아 number2박스를 팔았습니다. 남은 파인애플은 몇 개일까요?,number0 - number1 * number2,50,0,과일 가게에 파인애플이 number0개 있습니다. 파인애플을 한 박스에 number1개씩 담아 number2박스를 팔았습니다. 남은 파인애플은 몇 개일까요?,80 10 3 ,,number0 - number1 * number2
"name0이는 티켓을 number0개 모았습니다. name1이는 name2이보다 number1개 더 많이 모았고, name3는 name4이보다 number2개 더 적게 모았습니다. name5가 모은 티켓은 몇 개일까요?",number0 + number1 - number2,41,0,"name0이는 티켓을 number0개 모았습니다. name1이는 name2이보다 number1개 더 많이 모았고, name3는 name4이보다 number2개 더 적게 모았습니다. name5가 모은 티켓은 몇 개일까요?",43 5 7 ,민영 유정 은지 ,number0 + number1 - number2
"마트에 망고 name0가 number0병, name1 name2가 number1병 있습니다. 한 상자에 name3를 number2병씩 담으려고 합니다. 상자는 모두 몇 개가 필요할까요?",( number0 + number1 ) // number2,9,0,"마트에 망고 name0가 number0병, name1 name2가 number1병 있습니다. 한 상자에 name3를 number2병씩 담으려고 합니다. 상자는 모두 몇 개가 필요할까요?",50 40 10 ,사과 주스 ,( number0 + number1 ) // number2
한 팩에 number0개씩 들어 있는 초콜릿이 number1팩 있습니다. 그중에서 number2개를 먹었습니다. 남은 초콜릿은 몇 개일까요?,number0 * number1 - number2,30,0,한 팩에 number0개씩 들어 있는 초콜릿이 number1팩 있습니다. 그중에서 number2개를 먹었습니다. 남은 초콜릿은 몇 개일까요?,40 2 50 ,,number0 * number1 - number2
"화분에 name0 카네이션이 number0송이, 분홍색 카네이션이 number1송이, name1 카네이션이 number2송이 꽃혀 있습니다. 화분에 꽂혀 있는 카네이션은 모두 몇 송이일까요?",number2 + number1 + number2,5,0,"화분에 name0 카네이션이 number0송이, 분홍색 카네이션이 number1송이, name1 카네이션이 number2송이 꽃혀 있습니다. 화분에 꽂혀 있는 카네이션은 모두 몇 송이일까요?",2 1 2 ,빨간색 흰색 ,number2 + number1 + number2
"name0이와 선생님은 number0층에서 엘리베이터를 탔습니다. 선생님은 number1층 더 올라가서 내리셨고, name1이는 선생님은 number2층 더 올라가서 내렸습니다. name2이는 몇 층에서 내렸을까요?",number0 + number1 + number2,9,0,"name0이와 선생님은 number0층에서 엘리베이터를 탔습니다. 선생님은 number1층 더 올라가서 내리셨고, name1이는 선생님은 number2층 더 올라가서 내렸습니다. name2이는 몇 층에서 내렸을까요?",1 3 5 ,정국 ,number0 + number1 + number2
"name0에 number0명이 타고 있었습니다. 대천역에서 number1명이 내리고, 대구역에서 number2명이 내렸습니다. name1에 남은 사람은 몇 명일가요?",number0 - number1 - number2,2,0,"name0에 number0명이 타고 있었습니다. 대천역에서 number1명이 내리고, 대구역에서 number2명이 내렸습니다. name1에 남은 사람은 몇 명일가요?",7 2 3 ,기차 ,number0 - number1 - number2
"엘리베이터에 number0명이 타고 있었습니다. number1층에서 number2명이 타고, number3층에서 number4명이 탔습니다. 엘리베이터에 남은 사람은 몇 명일가요?",number4 + number2 + number4,8,0,"엘리베이터에 number0명이 타고 있었습니다. number1층에서 number2명이 타고, number3층에서 number4명이 탔습니다. 엘리베이터에 남은 사람은 몇 명일가요?",3 2 2 5 3 ,,number4 + number2 + number4
"name0에 number0명이 타고 있었습니다. 인천항에서 number1명이 타고, 여수항에서 number2명이 내렸습니다. name1에 남은 사람은 몇 명일가요?",number2 + number1 - number2,2,0,"name0에 number0명이 타고 있었습니다. 인천항에서 number1명이 타고, 여수항에서 number2명이 내렸습니다. name1에 남은 사람은 몇 명일가요?",3 2 3 ,배 배 ,number2 + number1 - number2
"name0에 number0명이 타고 있었습니다. name1 앞에서 number1명이 내리고, name2 앞에서 number2명이 탔습니다. name3에 남은 사람은 몇 명일가요?",number2 - number1 + number2,4,0,"name0에 number0명이 타고 있었습니다. name1 앞에서 number1명이 내리고, name2 앞에서 number2명이 탔습니다. name3에 남은 사람은 몇 명일가요?",3 2 3 ,도서관 박물관 버스 ,number2 - number1 + number2
name0이는 지금까지 허들 number0개를 뛰어넘었습니다. name1이가 number1개를 더 뛰어넘으면 모두 몇 개를 뛰어넘은 것일까요?,number0 + number1,15,0,name0이는 지금까지 허들 number0개를 뛰어넘었습니다. name1이가 number1개를 더 뛰어넘으면 모두 몇 개를 뛰어넘은 것일까요?,9 6 ,지민 ,number0 + number1
name0이는 위인전을 number0권 가지고 있었습니다. 삼촌에게 위인전 number1권을 더 받았다면 name1이가 가지고 있는 위인전은 모두 몇 권일가요?,number0 + number1,10,0,name0이는 위인전을 number0권 가지고 있었습니다. 삼촌에게 위인전 number1권을 더 받았다면 name1이가 가지고 있는 위인전은 모두 몇 권일가요?,8 2 ,석진 ,number0 + number1
대추가 number0개 있습니다. name0이가 대추를 number1개 먹으면 대추는 몇 개 남을까요?,number0 - number1,8,0,대추가 number0개 있습니다. name0이가 대추를 number1개 먹으면 대추는 몇 개 남을까요?,10 2 ,태형 ,number0 - number1
"name0이는 분홍색 색종이 number0장, name1 색종이 number1장, name2 색종이 number2장을 가지고 있습니다. name3이가 가지고 있는 색종이는 모두 몇 장일까요?",number0 + number1 + number2,11,0,"name0이는 분홍색 색종이 number0장, name1 색종이 number1장, name2 색종이 number2장을 가지고 있습니다. name3이가 가지고 있는 색종이는 모두 몇 장일까요?",7 3 1 ,남준 노란색 초록색 ,number0 + number1 + number2
"name0는 딸기 name1 number0병, name2 name3 number1병, 메론 name4 number2병을 가지고 있습니다. name5가 가지고 있는 name6는 모두 몇 병일까요?",number0 + number1 + number2,12,0,"name0는 딸기 name1 number0병, name2 name3 number1병, 메론 name4 number2병을 가지고 있습니다. name5가 가지고 있는 name6는 모두 몇 병일까요?",2 4 6 ,윤기 포도 주스 ,number0 + number1 + number2
"name0이가 방학동안 소설책 number0권, 만화책 number1권, 역사서 number2권을 읽었습니다. name1이가 방학 동안 읽은 책은 모두 몇 권일까요?",number0 + number1 + number2,13,0,"name0이가 방학동안 소설책 number0권, 만화책 number1권, 역사서 number2권을 읽었습니다. name1이가 방학 동안 읽은 책은 모두 몇 권일까요?",3 9 1 ,호석 ,number0 + number1 + number2
"name0이는 분홍색 구슬 number0개, 하얀색 구슬 number1개, 하늘색 구슬 number2개를 가지고 있습니다. name1이가 가지고 있는 구슬은 모두 몇 개일까요?",number0 + number1 + number2,16,0,"name0이는 분홍색 구슬 number0개, 하얀색 구슬 number1개, 하늘색 구슬 number2개를 가지고 있습니다. name1이가 가지고 있는 구슬은 모두 몇 개일까요?",7 6 3 ,민영 ,number0 + number1 + number2
"name0이는 연필을 number0자루 샀고, 색연필은 연필보다 number1자루 더 적게 샀습니다. name1이가 산 학용품은 모두 몇 자루일까요?",number0 + number0 - number1,15,0,"name0이는 연필을 number0자루 샀고, 색연필은 연필보다 number1자루 더 적게 샀습니다. name1이가 산 학용품은 모두 몇 자루일까요?",9 3 ,유정 ,number0 + number0 - number1
나뭇가지 위에 참새가 number0마리 앉아 있습니다. 잠시 후에 number1마리가 더 와서 나뭇가지 위에 앉았습니다. 나뭇가지 위에 앉아 있는 참새는 모두 몇 마리일까요?,number0 + number1,13,0,나뭇가지 위에 참새가 number0마리 앉아 있습니다. 잠시 후에 number1마리가 더 와서 나뭇가지 위에 앉았습니다. 나뭇가지 위에 앉아 있는 참새는 모두 몇 마리일까요?,7 6 ,,number0 + number1
"name0는 지우개를 number0개 가지고 있습니다. 그중에서 name1에게 number1개를 주고, name2이에게 number2개를 주었습니다. 남은 지우개는 몇 개일까요?",number0 - number1 - number2,3,0,"name0는 지우개를 number0개 가지고 있습니다. 그중에서 name1에게 number1개를 주고, name2이에게 number2개를 주었습니다. 남은 지우개는 몇 개일까요?",8 2 3 ,유나 정국 은지 ,number0 - number1 - number2
